/modID, category
/note that this is an initial list of all categories not yet hidden
/do not update this file after initial import; once a category is hidden, it won't come up here again
minecraft, minecraft.crafting
minecraft, minecraft.fuel
minecraft, minecraft.smelting
minecraft, minecraft.brewing
minecraft, minecraft.anvil
jeresources, jeresources.plant
jeresources, jeresources.worldgen
jeresources, jeresources.mob
jeresources, jeresources.dungeon
jei, jei.information
tinkersjei, tinkersjei:tool_stats
tconstruct, tconstruct.smeltery
tconstruct, tconstruct.alloy
tconstruct, tconstruct.casting_table
tconstruct, tconstruct.dryingrack
modularmachinery, modularmachinery.preview
modularmachinery, modularmachinery.recipes.iron_centrifuge
modularmachinery, modularmachinery.recipes.basic
modularmachinery, modularmachinery.recipes.transformer
modularmachinery, modularmachinery.recipes.alloy_furnace
modularmachinery, modularmachinery.recipes.machine
avaritia, Avatitia.Extreme
avaritia, Avatitia.Compressor
xreliquary, xreliquary:alkahestryCrafting
xreliquary, xreliquary:alkahestryCharging
xreliquary, xreliquary:mortar
xreliquary, xreliquary:cauldron
mctsmelteryio, mctsmelteryio:casting_machine
mctsmelteryio, mctsmelteryio:fuel_controller
tcomplement, tcomplement:melter
tcomplement, tcomplement:high_oven_mix
tcomplement, tcomplement:high_oven_heat
tcomplement, tcomplement:high_oven_melting
advancedrocketry, zmaster587.AR.rollingMachine
advancedrocketry, zmaster587.AR.lathe
advancedrocketry, zmaster587.AR.precisionAssembler
advancedrocketry, zmaster587.AR.sawMill
advancedrocketry, zmaster587.AR.chemicalReactor
advancedrocketry, zmaster587.AR.crystallizer
advancedrocketry, zmaster587.AR.electrolyzer
advancedrocketry, zmaster587.AR.arcFurnace
advancedrocketry, zmaster587.AR.platePresser
advancedrocketry, zmaster587.AR.centrifuge
advancedrocketry, zmaster587.AR.precisionlaseretcher
