/trait, enable (some traits listed here will not be addable)
aquadynamic, true
natureswrath, true
brittle, true
spiny_armor, false
travel_sneak_armor, true
supermassive, true
blast_resistant_armor, true
devilsstrength, true
stonebound, true
endspeed, true
dense_armor, true
leveling_armor, false
momentum, true
alien_armor, true
superheat, true
travel_sack_armor, true
resistant_armor, true
light, true
pyromancy, true
vengeful_armor, false
freezing, true
baconlicious, true
skeletal_armor, false
mundane2_armor, false
alien, true
powerful_armor, true
reinforced, true
sharp, true
enderport_armor, false
speedy_armor, true
webbed, true
splintering, true
xu_withering, true
crude2, true
crude1, true
soul_sight_armor, true
shielding_armor, false
aquaspeed_armor, true
cheapskate, true
fire_resistant_armor, true
bouncy_armor, false
glowing_armor, true
invariant_armor, true
ender_star, true
parasitic_armor, true
ref_shulker_pearl, true
blasting, true
stiff, true
haorans_cult_armor, true
squeaky, true
infernal_armor, false
poisonous, true
apocalypse, true
baconlicious_armor, false
terrafirma1, true
steady_armor, false
concealed_armor, true
magnetic1_armor, true
fancy, true
aridiculous, true
flammable, true
coldblooded, true
telekinetic_armor, true
dunanstransport_armor, true
holy, true
petravidity_armor, true
voltaic_armor, false
ref_bright, true
magnetic2_armor, false
established, true
mundane1_armor, false
high_stride_armor, true
aridiculous_armor, true
breakable, true
lightweight_armor, true
luck, true
hovering, true
frostwalker_armor, true
unnatural, true
cheapskate_armor, false
smite, true
glowing, true
ref_lens_miner, true
mending_moss, true
tom_and_jerry_armor, true
petramor, true
duritos, true
jagged, true
dense, true
ecological_armor, true
goodfridayagreement_armor, true
dexterous_armor, true
camdaibay_armor, true
slimey_blue_armor, false
knockback, true
naturespower, true
depthdigger, true
combustible_armor, false
travel_goggles_armor, true
reinforced_armor, true
naturesblessing, true
crystalline, true
autosmelt, true
shocking, true
blessed_armor, false
prideful_armor, true
subterranean_armor, false
ecological, true
travel_belt_armor, true
cheap_armor, false
cosmic_armor, true
shulkerweight_armor, true
tasty, true
travel_slowfall_armor, true
slimey_green, true
magnetic2, true
magnetic1, true
fiery, true
superhot_armor, false
tasty_armor, false
heavy, false
ref_magnet, true
fractured, true
enderference, true
materialis_fallback_armor, true
ref_tradeoff, true
dramatic_armor, false
hellish, true
xu_xp_boost, true
mending_armor, true
unbreakable, true
bloodymary, true
duritos_ranch_armor, true
thundering, true
cosmic, true
slimey_green_armor, false
lightweight, true
invigorating_armor, false
crumbling, true
rough_armor, true
writable2, true
writable1, true
fins, true
bane_of_arthopods, true
ambitious_armor, true
toolleveling, true
amphibious_armor, true
potion_belt_armor, true
cheap, true
splitting, true
calcic_armor, false
featherweight_armor, true
xu_whispering, true
ref_glow, true
infitool, true
slimey_blue, true
necrotic, true
elemental, true
projectile_resistant_armor, true
explosive, true
heavy_armor, true
shulking, true
insatiable, true
indomitable_armor, true
lens_killer, true
night_vision_armor, true
prickly, true
magical_modifier, true
absorbent_armor, false
spiky, true
anticorrosion, true
sticky_armor, true
global, true
autoforge_armor, false
alien, true
aquadynamic, true
aridiculous, false
autosmelt, true
baconlicious, true
cheap, true
cheapskate, true
coldblooded, true
crude1, true
crude2, true
crumbling, true
dense, true
depthdigger, true
duritos, true
ecological, true
enderference, true
established, true
flammable, true
fractured, true
heavy, true
hellish, true
holy, true
insatiable, true
jagged, true
lightweight, true
magnetic1, true
magnetic2, true
momentum, true
petramor, true
poisonous, true
prickly, true
sharp, true
shocking, true
slimey_green, true
slimey_blue, true
spiky, true
splintering, true
splinters, false
squeaky, true
superheat, true
stiff, true
stonebound, true
tasty, true
unnatural, true
writable1, true
writable2, true
breakable, true
endspeed, true
freezing, true
hovering, true
splitting, true
