/material, addSmelt, addMachine, addBlast, addConductive
/CuP
phosphorus_copper, true, true, false, true
bronze, true, true, false, true
brass, true, true, false, true
magnalium, true, true, false, true
kanthal, true, true, false, true
tin_alloy, true, true, false, true
black_bronze, true, true, false, true
pewter, true, true, false, true
constantan, true, true, false, true
invar, true, true, false, true
dilithium, true, true, false, true
alumite, true, true, false, true
red_alloy, true, true, false, true
cupronickel, true, true, false, true
aluminum_bronze, true, true, false, true
nickel_aluminum_bronze, true, true, false, true
/blast
nichrome, true, true, true, true
tungstensteel, true, true, true, true
rose_gold, true, true, true, true
sterling_silver, true, true, true, true
niobium_titanium, true, true, true, true
blue_steel, true, true, true, true
red_steel, true, true, true, true
stainless_steel, true, true, true, true
cobalt_brass, true, true, true, true
bismuth_bronze, true, true, true, true
black_steel, true, true, true, true
galvanized_steel, true, true, true, true
iridium_alloy, true, true, true, true
electrum, true, true, true, true
steel, true, true, true, true
hss_g, true, true, true, true
hss_e, true, true, true, true
hss_s, true, true, true, true
titanium_aluminide, true, true, true, true
titanium_iridium, true, true, true, true
osmiridium, true, true, true, true
yttrium_barium_cuprate, true, true, true, true
purple_steel, true, true, true, true
voidensteel, true, true, true, true
white_gold, true, true, true, true
nichromium, true, true, true, true
chromodium, true, true, true, true
fluxalitium, true, true, true, true
spectraclium, true, true, true, true
/thermal alloys
lumium, true, true, true, false
signalum, true, true, true, false
enderium, true, true, true, false
fluxed_electrum, true, true, true, false
gelid_enderium, true, true, true, false
/eio alloys
redstone_alloy, true, true, false, true
electrical_steel, true, true, true, true
conductive_iron, true, true, false, true
dark_steel, true, true, true, true
construction_alloy, true, true, false, true
end_steel, true, true, true, true
/TiC
aluminum_brass, true, true, false, true
knightslime, true, true, false, true
pig_iron, true, true, false, true
manyullyn, true, true, true, true
