/"Name","Density","Temperature","Viscosity","Luminosity","Rarity","isGaseous","Block"
"alubrass",2000,500,10000,10,"UNCOMMON","false","tconstruct:molten_alubrass"
"aluminum",2000,900,10000,10,"UNCOMMON","false","tconstruct:molten_aluminum"
"alumite",2000,940,10000,10,"UNCOMMON","false","materialis:molten_alumite"
"amethyst",2000,600,10000,10,"UNCOMMON","false","-"
"ardite",2000,860,10000,10,"RARE","false","tconstruct:molten_ardite"
"blood",1000,300,1000,0,"COMMON","false","biomesoplenty:blood"
"blueslime",1500,310,1500,0,"COMMON","false","tconstruct:blueslime"
"brass",2000,470,10000,10,"UNCOMMON","false","tconstruct:molten_brass"
"bronze",2000,475,10000,10,"UNCOMMON","false","tconstruct:molten_bronze"
"chocolate_liquor",1000,500,1000,0,"COMMON","false","tcomplement:liquid_chocolate_liquor"
"clay",2000,700,10000,10,"UNCOMMON","false","tconstruct:molten_clay"
"cobalt",2000,950,10000,10,"RARE","false","tconstruct:molten_cobalt"
"copper",2000,542,10000,10,"UNCOMMON","false","tconstruct:molten_copper"
"cotc_data",6000,500,6000,10,"COMMON","false","contenttweaker:cotc_data"
"cotc_glowing",6000,1000,6000,5,"COMMON","false","contenttweaker:cotc_glowing"
"cotc_juice",6000,1000,6000,15,"COMMON","false","contenttweaker:cotc_juice"
"cotc_neg_black_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_neg_black_matter"
"cotc_neg_blue_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_neg_blue_matter"
"cotc_neg_brown_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_neg_brown_matter"
"cotc_neg_cyan_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_neg_cyan_matter"
"cotc_neg_gray_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_neg_gray_matter"
"cotc_neg_green_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_neg_green_matter"
"cotc_neg_lblue_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_neg_lblue_matter"
"cotc_neg_lgray_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_neg_lgray_matter"
"cotc_neg_lime_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_neg_lime_matter"
"cotc_neg_magenta_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_neg_magenta_matter"
"cotc_neg_orange_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_neg_orange_matter"
"cotc_neg_pink_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_neg_pink_matter"
"cotc_neg_purple_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_neg_purple_matter"
"cotc_neg_red_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_neg_red_matter"
"cotc_neg_white_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_neg_white_matter"
"cotc_neg_yellow_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_neg_yellow_matter"
"cotc_pos_black_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_pos_black_matter"
"cotc_pos_blue_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_pos_blue_matter"
"cotc_pos_brown_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_pos_brown_matter"
"cotc_pos_cyan_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_pos_cyan_matter"
"cotc_pos_gray_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_pos_gray_matter"
"cotc_pos_green_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_pos_green_matter"
"cotc_pos_lblue_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_pos_lblue_matter"
"cotc_pos_lgray_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_pos_lgray_matter"
"cotc_pos_lime_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_pos_lime_matter"
"cotc_pos_magenta_matter",1000,15000,10000,15,"COMMON","true","contenttweaker:cotc_pos_magenta_matter"
