/"OreDict Key","ItemStacks"
"Bone","[minecraft:bone@0 - 'Bone' - <no NBT>]"
"alcoholBeachrum","[brewcraft:beachrumitem@0 - 'Beach Rum' - <no NBT>]"
"alcoholBlackholewhiskey","[brewcraft:blackholewhiskeyitem@0 - 'Black Hole Whiskey' - <no NBT>]"
"alcoholBluebeer","[brewcraft:bluebeeritem@0 - 'Blue Beer' - <no NBT>]"
"alcoholBorgiaabsinthe","[brewcraft:borgiaabsintheitem@0 - 'Borgia Absinthe' - <no NBT>]"
"alcoholCherryvodka","[brewcraft:cherryvodkaitem@0 - 'Cherry Vodka' - <no NBT>]"
"alcoholCoconutrumm","[brewcraft:coconutrumitem@0 - 'Coconut Rum' - <no NBT>]"
"alcoholGhostpepperabsinthe","[brewcraft:ghostpepperabsintheitem@0 - 'Ghost Pepper Absinthe' - <no NBT>]"
"alcoholGoldschlager","[brewcraft:goldschlageritem@0 - 'Gold Schlager' - <no NBT>]"
"alcoholHandmadevodkam","[brewcraft:handmadevodkaitem@0 - 'Handmade Vodka' - <no NBT>]"
"alcoholHardapplecider","[brewcraft:hardapplecideritem@0 - 'Hard Apple Cider' - <no NBT>]"
"alcoholHardlemonade","[brewcraft:hardlemonadeitem@0 - 'Hard Lemonade' - <no NBT>]"
"alcoholHoneymead","[brewcraft:honeymeaditem@0 - 'Honey Mead' - <no NBT>]"
"alcoholPinkmoscato","[brewcraft:pinkmoscatoitem@0 - 'Pink Moscato' - <no NBT>]"
"alcoholPmaxriesling","[brewcraft:pmaxrieslingitem@0 - 'P Max Riesling' - <no NBT>]"
"alcoholPointthreerye","[brewcraft:pointthreeryeitem@0 - 'Point Three Rye' - <no NBT>]"
"alcoholRedbeer","[brewcraft:redbeeritem@0 - 'Red Beer' - <no NBT>]"
"alcoholRennalgold","[brewcraft:rennalgolditem@0 - 'Rennal Gold' - <no NBT>]"
"alcoholRiverchardonnay","[brewcraft:riverchardonnayitem@0 - 'River Chardonnay' - <no NBT>]"
"alcoholSake","[brewcraft:sakeitem@0 - 'Sake' - <no NBT>]"
"alcoholSavannazinfandel","[brewcraft:savannazinfandelitem@0 - 'Savanna Zinfandel' - <no NBT>]"
"alcoholSpicedrum","[brewcraft:spicedrumitem@0 - 'Spiced Rum' - <no NBT>]"
"alcoholSwampmerlot","[brewcraft:swampmerlotitem@0 - 'Swamp Merlot' - <no NBT>]"
"alcoholTiagapinotnoir","[brewcraft:tiagapinotnoiritem@0 - 'Tiaga Pinot Noir' - <no NBT>]"
"alcoholTotalvodka","[brewcraft:totalvodkaitem@0 - 'Total Vodka' - <no NBT>]"
"alcoholUglyavocadogin","[brewcraft:uglyavocadoginitem@0 - 'Ugly Avocado Gin' - <no NBT>]"
"arrow","[minecraft:arrow@0 - 'Arrow' - <no NBT>]; [minecraft:spectral_arrow@0 - 'Spectral Arrow' - <no NBT>]; [minecraft:tipped_arrow@0 - 'Uncraftable Tipped Arrow' - <no NBT>]"
"ballMud","[biomesoplenty:mudball@0 - 'Mud Ball' - <no NBT>]"
"barkAcacia","[leatherworks:bark_acacia@0 - 'Acacia Bark' - <no NBT>]"
"barkBirch","[leatherworks:bark_birch@0 - 'Birch Bark' - <no NBT>]"
"barkDarkOak","[leatherworks:bark_darkoak@0 - 'Dark Oak Bark' - <no NBT>]"
"barkJungle","[leatherworks:bark_jungle@0 - 'Jungle Bark' - <no NBT>]"
"barkOak","[leatherworks:bark_oak@0 - 'Bark' - <no NBT>]"
"barkSpruce","[leatherworks:bark_spruce@0 - 'Spruce Bark' - <no NBT>]"
"barkWood","[leatherworks:bark_acacia@0 - 'Acacia Bark' - <no NBT>]; [leatherworks:bark_birch@0 - 'Birch Bark' - <no NBT>]; [leatherworks:bark_darkoak@0 - 'Dark Oak Bark' - <no NBT>]; [leatherworks:bark_jungle@0 - 'Jungle Bark' - <no NBT>]; [leatherworks:bark_oak@0 - 'Bark' - <no NBT>]; [leatherworks:bark_spruce@0 - 'Spruce Bark' - <no NBT>]"
"beamIron","[contenttweaker:material_part@14 - 'Iron Beam' - <no NBT>]"
"beamLumium","[contenttweaker:material_part@746 - 'Lumium Beam' - <no NBT>]"
"beamPolyethylene","[contenttweaker:material_part@783 - 'Polyethylene Beam' - <no NBT>]"
"bed","[minecraft:bed@0 - 'White Bed' - <no NBT>]; [minecraft:bed@1 - 'Orange Bed' - <no NBT>]; [minecraft:bed@2 - 'Magenta Bed' - <no NBT>]; [minecraft:bed@3 - 'Light Blue Bed' - <no NBT>]; [minecraft:bed@4 - 'Yellow Bed' - <no NBT>]; [minecraft:bed@5 - 'Lime Bed' - <no NBT>]; [minecraft:bed@6 - 'Pink Bed' - <no NBT>]; [minecraft:bed@7 - 'Gray Bed' - <no NBT>]; [minecraft:bed@8 - 'Light Gray Bed' - <no NBT>]; [minecraft:bed@9 - 'Cyan Bed' - <no NBT>]; [minecraft:bed@10 - 'Purple Bed' - <no NBT>]; [minecraft:bed@11 - 'Blue Bed' - <no NBT>]; [minecraft:bed@12 - 'Brown Bed' - <no NBT>]; [minecraft:bed@13 - 'Green Bed' - <no NBT>]; [minecraft:bed@14 - 'Red Bed' - <no NBT>]; [minecraft:bed@15 - 'Black Bed' - <no NBT>]"
"blockAlubrass","[tconstruct:metal@5 - 'Block of Aluminum Brass' - <no NBT>]"
"blockAluminum","[libvulpes:metal0@9 - 'Aluminum Block' - <no NBT>]"
