/"Mod name","Registry name","Item ID","Meta/dmg","Subtypes","Display name","Ore Dict keys"
"Advanced Rocketry","advancedrocketry:advbipropellantrocketmotor",4789,0,"false","Advanced Bipropellant Rocket Engine",""
"Advanced Rocketry","advancedrocketry:advrocketmotor",4788,0,"false","Advanced Monopropellant Rocket Engine",""
"Advanced Rocketry","advancedrocketry:airlock_door",4818,0,"false","tile.smallAirlockDoor.name",""
"Advanced Rocketry","advancedrocketry:alienleaves",4833,0,"false","Lightwood Leaves","treeLeaves"
"Advanced Rocketry","advancedrocketry:aliensapling",4834,0,"false","Lightwood Sapling","treeSapling"
"Advanced Rocketry","advancedrocketry:alienwood",4832,0,"false","Lightwood Wood","logWood"
"Advanced Rocketry","advancedrocketry:altitudecontroller",4810,0,"false","Altitude Controller",""
"Advanced Rocketry","advancedrocketry:arcfurnace",4758,0,"false","Electric Arc Furnace",""
"Advanced Rocketry","advancedrocketry:asteroidchip",4855,0,"false","Asteroid Chip",""
"Advanced Rocketry","advancedrocketry:atmanalyser",4870,0,"false","Atmosphere Analyzer",""
"Advanced Rocketry","advancedrocketry:basalt",4826,0,"false","Basalt",""
"Advanced Rocketry","advancedrocketry:basiclasergun",4875,0,"false","Basic Laser Gun",""
"Advanced Rocketry","advancedrocketry:beacon",4775,0,"false","Beacon",""
"Advanced Rocketry","advancedrocketry:beaconfinder",4868,0,"false","Beacon Finder",""
"Advanced Rocketry","advancedrocketry:biomechanger",4873,0,"false","Biome Changer Remote",""
"Advanced Rocketry","advancedrocketry:biomescanner",4776,0,"false","Biome Scanner",""
"Advanced Rocketry","advancedrocketry:bipropellantfueltank",4792,0,"false","Bipropellant Fuel Tank",""
"Advanced Rocketry","advancedrocketry:bipropellantrocketmotor",4787,0,"false","Bipropellant Rocket Engine",""
"Advanced Rocketry","advancedrocketry:blackholegenerator",4771,0,"false","Black Hole Generator",""
"Advanced Rocketry","advancedrocketry:blastbrick",4743,0,"false","HeatProof Brick",""
"Advanced Rocketry","advancedrocketry:blocklens",4745,0,"false","Lens",""
"Advanced Rocketry","advancedrocketry:blockpump",4753,0,"false","Fluid Pump",""
"Advanced Rocketry","advancedrocketry:carbonscrubbercartridge",4881,0,"false","Carbon Collection Cartridge",""
"Advanced Rocketry","advancedrocketry:centrifuge",4769,0,"false","Centrifuge",""
"Advanced Rocketry","advancedrocketry:charcoallog",4830,0,"false","Charcoal Log",""
"Advanced Rocketry","advancedrocketry:chemicalreactor",4765,0,"false","Chemical Reactor",""
"Advanced Rocketry","advancedrocketry:circlelight",4821,0,"false","Station Light",""
"Advanced Rocketry","advancedrocketry:concrete",4742,0,"false","Concrete","concrete"
"Advanced Rocketry","advancedrocketry:crystal",4828,0,"true","Violet Crystal Block",""
"Advanced Rocketry","advancedrocketry:crystal",4828,1,"true","Blue Crystal Block",""
"Advanced Rocketry","advancedrocketry:crystal",4828,2,"true","Green Crystal Block",""
"Advanced Rocketry","advancedrocketry:crystal",4828,3,"true","Red Crystal Block",""
"Advanced Rocketry","advancedrocketry:crystal",4828,4,"true","Yellow Crystal Block",""
"Advanced Rocketry","advancedrocketry:crystal",4828,5,"true","Orange Crystal Block",""
"Advanced Rocketry","advancedrocketry:crystallizer",4761,0,"false","Crystallizer",""
"Advanced Rocketry","advancedrocketry:cuttingmachine",4762,0,"false","Cutting Machine",""
"Advanced Rocketry","advancedrocketry:dataunit",4858,0,"true","Data Storage Unit",""
"Advanced Rocketry","advancedrocketry:deployablerocketbuilder",4802,0,"false","Unmanned Vehicle Assembler",""
"Advanced Rocketry","advancedrocketry:drill",4798,0,"false","Drill",""
"Advanced Rocketry","advancedrocketry:electricmushroom",4831,0,"false","Electric Mushroom",""
"Advanced Rocketry","advancedrocketry:electrolyser",4764,0,"false","Electrolyser",""
"Advanced Rocketry","advancedrocketry:elevatorchip",4856,0,"false","Space Elevator Chip",""
"Advanced Rocketry","advancedrocketry:forcefield",4751,0,"false","Force Field",""
"Advanced Rocketry","advancedrocketry:forcefieldprojector",4750,0,"false","Force Field Projector",""
"Advanced Rocketry","advancedrocketry:fuelingstation",4804,0,"false","Fueling station",""
"Advanced Rocketry","advancedrocketry:fueltank",4791,0,"false","Monopropellant Fuel Tank",""
"Advanced Rocketry","advancedrocketry:geode",4827,0,"false","Geode Block",""
"Advanced Rocketry","advancedrocketry:gravitycontroller",4809,0,"false","Station Gravity Controller",""
"Advanced Rocketry","advancedrocketry:gravitymachine",4780,0,"false","Area Gravity Controller",""
"Advanced Rocketry","advancedrocketry:guidancecomputer",4796,0,"false","Guidance Computer",""
"Advanced Rocketry","advancedrocketry:hotturf",4825,0,"false","Oxidized Ferric Sand",""
