/"Mod name","Registry name","Entity class name","ID"
"Advanced Rocketry","advancedrocketry:arabducteditem","zmaster587.advancedRocketry.entity.EntityItemAbducted",4
"Advanced Rocketry","advancedrocketry:arhovercraft","zmaster587.advancedRocketry.entity.EntityHoverCraft",9
"Advanced Rocketry","advancedrocketry:arplanetuibutton","zmaster587.advancedRocketry.entity.EntityUIButton",6
"Advanced Rocketry","advancedrocketry:arplanetuiitem","zmaster587.advancedRocketry.entity.EntityUIPlanet",5
"Advanced Rocketry","advancedrocketry:arspaceelevatorcapsule","zmaster587.advancedRocketry.entity.EntityElevatorCapsule",8
"Advanced Rocketry","advancedrocketry:arstaruibutton","zmaster587.advancedRocketry.entity.EntityUIStar",7
"Advanced Rocketry","advancedrocketry:deployedrocket","zmaster587.advancedRocketry.entity.EntityStationDeployedRocket",3
"Advanced Rocketry","advancedrocketry:lasernode","zmaster587.advancedRocketry.entity.EntityLaserNode",2
"Advanced Rocketry","advancedrocketry:mountdummy","zmaster587.advancedRocketry.entity.EntityDummy",0
"Advanced Rocketry","advancedrocketry:rocket","zmaster587.advancedRocketry.entity.EntityRocket",1
"Avaritia","avaritia:endest_pearl","morph.avaritia.entity.EntityEndestPearl",1
"Avaritia","avaritia:gaping_void","morph.avaritia.entity.EntityGapingVoid",2
"Avaritia","avaritia:heaven_arrow","morph.avaritia.entity.EntityHeavenArrow",3
"Avaritia","avaritia:heaven_sub_arrow","morph.avaritia.entity.EntityHeavenSubArrow",4
"Better Animals Plus","betteranimalsplus:badger","its_meow.betteranimalsplus.common.entity.EntityBadger",16
"Better Animals Plus","betteranimalsplus:badgerdirt","its_meow.betteranimalsplus.common.entity.projectile.EntityBadgerDirt",32
"Better Animals Plus","betteranimalsplus:blackbear","its_meow.betteranimalsplus.common.entity.EntityBearNeutral",1
"Better Animals Plus","betteranimalsplus:boar","its_meow.betteranimalsplus.common.entity.EntityBoar",13
"Better Animals Plus","betteranimalsplus:bobbit_worm","its_meow.betteranimalsplus.common.entity.EntityBobbitWorm",25
"Better Animals Plus","betteranimalsplus:brownbear","its_meow.betteranimalsplus.common.entity.EntityBear",0
"Better Animals Plus","betteranimalsplus:coyote","its_meow.betteranimalsplus.common.entity.EntityCoyote",5
"Better Animals Plus","betteranimalsplus:crab","its_meow.betteranimalsplus.common.entity.EntityCrab",19
"Better Animals Plus","betteranimalsplus:deer","its_meow.betteranimalsplus.common.entity.EntityDeer",2
"Better Animals Plus","betteranimalsplus:eel_freshwater","its_meow.betteranimalsplus.common.entity.EntityFreshwaterEel",27
"Better Animals Plus","betteranimalsplus:eel_saltwater","its_meow.betteranimalsplus.common.entity.EntitySaltwaterEel",28
"Better Animals Plus","betteranimalsplus:feralwolf","its_meow.betteranimalsplus.common.entity.EntityFeralWolf",4
"Better Animals Plus","betteranimalsplus:fox","its_meow.betteranimalsplus.common.entity.EntityFox",6
"Better Animals Plus","betteranimalsplus:goat","its_meow.betteranimalsplus.common.entity.EntityGoat",9
"Better Animals Plus","betteranimalsplus:golden_goose_egg","its_meow.betteranimalsplus.common.entity.projectile.EntityGoldenGooseEgg",37
"Better Animals Plus","betteranimalsplus:goose","its_meow.betteranimalsplus.common.entity.EntityGoose",26
"Better Animals Plus","betteranimalsplus:goose_egg","its_meow.betteranimalsplus.common.entity.projectile.EntityGooseEgg",36
"Better Animals Plus","betteranimalsplus:hirschgeist","its_meow.betteranimalsplus.common.entity.miniboss.hirschgeist.EntityHirschgeist",8
"Better Animals Plus","betteranimalsplus:horseshoecrab","its_meow.betteranimalsplus.common.entity.EntityHorseshoeCrab",20
"Better Animals Plus","betteranimalsplus:jellyfish","its_meow.betteranimalsplus.common.entity.EntityJellyfish",10
"Better Animals Plus","betteranimalsplus:kermodebear","its_meow.betteranimalsplus.common.entity.EmptyEntity",33
"Better Animals Plus","betteranimalsplus:lammergeier","its_meow.betteranimalsplus.common.entity.EntityLammergeier",3
"Better Animals Plus","betteranimalsplus:lamprey","its_meow.betteranimalsplus.common.entity.EntityLamprey",17
"Better Animals Plus","betteranimalsplus:moose","its_meow.betteranimalsplus.common.entity.EntityMoose",22
"Better Animals Plus","betteranimalsplus:nautilus","its_meow.betteranimalsplus.common.entity.EntityNautilus",18
"Better Animals Plus","betteranimalsplus:pheasant","its_meow.betteranimalsplus.common.entity.EntityPheasant",11
"Better Animals Plus","betteranimalsplus:pheasantegg","its_meow.betteranimalsplus.common.entity.projectile.EntityPheasantEgg",34
"Better Animals Plus","betteranimalsplus:reindeer","its_meow.betteranimalsplus.common.entity.EntityReindeer",12
"Better Animals Plus","betteranimalsplus:shark","its_meow.betteranimalsplus.common.entity.EntityShark",21
"Better Animals Plus","betteranimalsplus:songbird","its_meow.betteranimalsplus.common.entity.EntitySongbird",15
"Better Animals Plus","betteranimalsplus:squirrel","its_meow.betteranimalsplus.common.entity.EntitySquirrel",14
"Better Animals Plus","betteranimalsplus:tarantula","its_meow.betteranimalsplus.common.entity.EntityTarantula",7
"Better Animals Plus","betteranimalsplus:tarantulahair","its_meow.betteranimalsplus.common.entity.projectile.EntityTarantulaHair",31
"Better Animals Plus","betteranimalsplus:turkey","its_meow.betteranimalsplus.common.entity.EntityTurkey",23
"Better Animals Plus","betteranimalsplus:turkeyegg","its_meow.betteranimalsplus.common.entity.projectile.EntityTurkeyEgg",35
"Better Animals Plus","betteranimalsplus:walrus","its_meow.betteranimalsplus.common.entity.EntityWalrus",30
"Better Animals Plus","betteranimalsplus:whale","its_meow.betteranimalsplus.common.entity.EntityWhale",29
"Better Animals Plus","betteranimalsplus:zotzpyre","its_meow.betteranimalsplus.common.entity.EntityZotzpyre",24
"Better Nether","betternether:firefly","paulevs.betternether.entities.EntityFirefly",0
"Biomes O' Plenty","biomesoplenty:bop_boat","biomesoplenty.common.entities.item.EntityBOPBoat",2
"Biomes O' Plenty","biomesoplenty:mudball","biomesoplenty.common.entities.projectiles.EntityMudball",1
"Biomes O' Plenty","biomesoplenty:wasp","biomesoplenty.common.entities.EntityWasp",3
"Duckcraft","duckcraft:duck","thunderbadge.duckcraft.entity.Duck.EntityDuck",0
"Duckcraft","duckcraft:duckegg","thunderbadge.duckcraft.entity.Duck.EntityDuckEgg",2
"Extra Utilities 2","extrautils2:boomerang","com.rwtema.extrautils2.entity.EntityBoomerang",0
"Extra Utilities 2","extrautils2:chunkdata","com.rwtema.extrautils2.entity.chunkdata.EntityChunkData",1
"Just a Few Fish","jaff:clownfish","com.tmtravlr.jaff.entities.EntityFishClownfish",3
"Just a Few Fish","jaff:cod","com.tmtravlr.jaff.entities.EntityFishCod",1
"Just a Few Fish","jaff:iron_fish_hook","com.tmtravlr.jaff.entities.EntityIronFishHook",0
"Just a Few Fish","jaff:pufferfish","com.tmtravlr.jaff.entities.EntityFishPufferfish",4
"Just a Few Fish","jaff:salmon","com.tmtravlr.jaff.entities.EntityFishSalmon",2
"Minecraft","minecraft:area_effect_cloud","net.minecraft.entity.EntityAreaEffectCloud",3
"Minecraft","minecraft:armor_stand","net.minecraft.entity.item.EntityArmorStand",30
"Minecraft","minecraft:arrow","net.minecraft.entity.projectile.EntityTippedArrow",10
"Minecraft","minecraft:bat","net.minecraft.entity.passive.EntityBat",65
"Minecraft","minecraft:blaze","net.minecraft.entity.monster.EntityBlaze",61
"Minecraft","minecraft:boat","net.minecraft.entity.item.EntityBoat",41
"Minecraft","minecraft:cave_spider","net.minecraft.entity.monster.EntityCaveSpider",59
"Minecraft","minecraft:chest_minecart","net.minecraft.entity.item.EntityMinecartChest",43
"Minecraft","minecraft:chicken","net.minecraft.entity.passive.EntityChicken",93
"Minecraft","minecraft:commandblock_minecart","net.minecraft.entity.item.EntityMinecartCommandBlock",40
"Minecraft","minecraft:cow","net.minecraft.entity.passive.EntityCow",92
"Minecraft","minecraft:creeper","net.minecraft.entity.monster.EntityCreeper",50
"Minecraft","minecraft:donkey","net.minecraft.entity.passive.EntityDonkey",31
"Minecraft","minecraft:dragon_fireball","net.minecraft.entity.projectile.EntityDragonFireball",26
"Minecraft","minecraft:egg","net.minecraft.entity.projectile.EntityEgg",7
