/"Mod name","Registry name","Item ID","Meta/dmg","Subtypes","Display name","Hunger","Saturation","Ore Dict keys"
"Avaritia","avaritia:cosmic_meatballs",5440,0,"false","Cosmic Meatballs",20,20.0,""
"Avaritia","avaritia:ultimate_stew",5634,0,"false","Ultimate Stew",20,20.0,""
"Better Animals Plus","betteranimalsplus:blubber",5268,0,"false","Blubber",1,2.0,""
"Better Animals Plus","betteranimalsplus:crab_meat_cooked",5292,0,"false","Cooked Crab Meat",5,1.2,"listAllfishcooked"
"Better Animals Plus","betteranimalsplus:crab_meat_raw",5291,0,"false","Raw Crab Meat",2,1.0,"listAllfishraw"
"Better Animals Plus","betteranimalsplus:eel_meat_cooked",5302,0,"false","Cooked Eel Meat",4,0.7,""
"Better Animals Plus","betteranimalsplus:eel_meat_raw",5301,0,"false","Raw Eel Meat",1,0.0,""
"Better Animals Plus","betteranimalsplus:fried_egg",5303,0,"false","Fried Egg",5,1.5,""
"Better Animals Plus","betteranimalsplus:goatcheese",5270,0,"false","Goat Cheese",3,1.0,"foodCheese,foodGoatCheese"
"Better Animals Plus","betteranimalsplus:pheasantcooked",5272,0,"false","Cooked Pheasant",7,1.2,"listAllmeatcooked"
"Better Animals Plus","betteranimalsplus:pheasantraw",5271,0,"false","Raw Pheasant",3,0.0,"listAllmeatraw"
"Better Animals Plus","betteranimalsplus:turkey_leg_cooked",5300,0,"false","Cooked Turkey Leg",4,1.2,"listAllmeatcooked"
"Better Animals Plus","betteranimalsplus:turkey_leg_raw",5299,0,"false","Raw Turkey Leg",2,0.0,"listAllmeatraw"
"Better Animals Plus","betteranimalsplus:venisoncooked",5265,0,"false","Cooked Venison",8,1.2,"foodVenisoncooked,listAllmeatcooked,listAllvenisoncooked"
"Better Animals Plus","betteranimalsplus:venisonraw",5264,0,"false","Raw Venison",4,0.0,"foodVenisonraw,listAllmeatraw,listAllvenisonraw"
"Better Nether","betternether:black_apple",5404,0,"false","Black Apple",6,0.5,""
"Better Nether","betternether:stalagnate_bowl_apple",5360,0,"false","Black Apple",8,0.6,""
"Better Nether","betternether:stalagnate_bowl_mushroom",5341,0,"false","Mushroom Stew",6,0.6,""
"Better Nether","betternether:stalagnate_bowl_wart",5405,0,"false","Wart Soup",4,0.6,""
"Biomes O' Plenty","biomesoplenty:berries",4244,0,"false","Berry",1,0.1,""
"Biomes O' Plenty","biomesoplenty:filled_honeycomb",4249,0,"false","Filled Honeycomb",3,0.4,"foodFilledhoneycomb"
"Biomes O' Plenty","biomesoplenty:peach",4246,0,"false","Peach",5,0.2,"cropPeach,listAllfruit"
"Biomes O' Plenty","biomesoplenty:pear",4245,0,"false","Pear",5,0.3,"cropPear,listAllfruit"
"Biomes O' Plenty","biomesoplenty:persimmon",4247,0,"false","Persimmon",5,0.2,"cropPersimmon,listAllfruit"
"Biomes O' Plenty","biomesoplenty:ricebowl",4251,0,"false","Bowl of Rice",2,0.6,"foodBowlofrice"
"Biomes O' Plenty","biomesoplenty:shroompowder",4250,0,"false","Shroom Powder",1,0.1,"foodMushroompowder"
"Bird's Foods","birdsfoods:alfredo_sauce",6038,0,"false","Alfredo Sauce",3,0.4,""
"Bird's Foods","birdsfoods:ancho_beef",5480,0,"false","Ancho Beef",5,0.8,"foodPizzameat"
"Bird's Foods","birdsfoods:ancho_chicken",5521,0,"false","Ancho Chicken",4,0.8,"foodPizzameat"
"Bird's Foods","birdsfoods:ancho_fish",6077,0,"false","Ancho Fish",4,0.8,"foodPizzameat"
"Bird's Foods","birdsfoods:ancho_pork",5721,0,"false","Ancho Pork",5,0.8,"foodPizzameat"
"Bird's Foods","birdsfoods:ancho_veggies",5657,0,"false","Ancho Veggies",5,0.8,"foodPizzameat"
"Bird's Foods","birdsfoods:apple_cider",5556,0,"false","Apple Cider",3,1.0,"foodApplecider,foodCider"
"Bird's Foods","birdsfoods:apple_juice",5699,0,"false","Apple Juice",4,0.6,"foodApplejuice,listAlljuice"
"Bird's Foods","birdsfoods:apple_pie",6020,0,"false","Apple Pie",14,1.0,"foodApplepie"
"Bird's Foods","birdsfoods:apple_pie_a_la_mode",5817,0,"false","Apple Pie a la Mode",15,1.1,""
"Bird's Foods","birdsfoods:astronaut_ice_cream",5477,0,"false","Astronaut Ice Cream",4,0.5,""
"Bird's Foods","birdsfoods:bacon",5479,0,"false","Bacon",4,0.8,"foodBacon,foodHalfmeat,foodPizzameat"
"Bird's Foods","birdsfoods:bacon_and_cheese_sandwich",5710,0,"false","Bacon & Cheese Sandwich",8,0.8,""
"Bird's Foods","birdsfoods:bacon_and_egg_sandwich",5687,0,"false","Bacon & Egg Sandwich",8,1.0,""
"Bird's Foods","birdsfoods:bacon_cheeseburger",5494,0,"false","Bacon Cheeseburger",12,1.2,""
"Bird's Foods","birdsfoods:bacon_egg_and_cheese_sandwich",5808,0,"false","Bacon Egg & Cheese Sandwich",10,1.0,""
"Bird's Foods","birdsfoods:bacon_hamburger",5764,0,"false","Bacon Hamburger",10,1.0,""
"Bird's Foods","birdsfoods:bacon_pancakes",7105,0,"false","Bacon Pancakes",9,0.8,""
"Bird's Foods","birdsfoods:bacon_pancakes_syrup",5631,0,"false","Bacon Pancakes with Syrup",10,0.9,""
"Bird's Foods","birdsfoods:bacon_quiche",5641,0,"false","Bacon Quiche",12,1.0,""
"Bird's Foods","birdsfoods:bacon_sandwich",5427,0,"false","Bacon Sandwich",6,0.8,""
"Bird's Foods","birdsfoods:bacone",5620,0,"false","Bacone",12,0.8,""
"Bird's Foods","birdsfoods:baked_apple",5693,0,"false","Baked Apple",5,0.5,""
"Bird's Foods","birdsfoods:barbecue_chicken",5787,0,"false","Barbecued Chicken",3,1.0,"foodPizzameat"
"Bird's Foods","birdsfoods:barbecue_pork",5759,0,"false","Barbecued Pork",4,1.0,"foodPizzameat"
"Bird's Foods","birdsfoods:beef_jerky",5469,0,"false","Beef Jerky",3,0.1,""
"Bird's Foods","birdsfoods:beef_soba",5549,0,"false","Beef Soba",9,0.9,""
"Bird's Foods","birdsfoods:beef_stew",5439,0,"false","Beef Stew",14,0.6,""
"Bird's Foods","birdsfoods:beef_taco",5550,0,"false","Beef Taco",7,0.8,""
"Bird's Foods","birdsfoods:beef_taco_supreme",5712,0,"false","Beef Taco Supreme",14,1.0,""
"Bird's Foods","birdsfoods:beef_taco_with_cream",5524,0,"false","Beef Taco with Sour Cream",8,0.85,""
"Bird's Foods","birdsfoods:beef_taco_with_cream_and_greens",5529,0,"false","Beef Taco with Cream and Greens",11,0.85,""
"Bird's Foods","birdsfoods:beef_taco_with_greens",5622,0,"false","Beef Taco with Greens",10,0.85,""
"Bird's Foods","birdsfoods:beef_vindaloo",5798,0,"false","Beef Vindaloo",12,0.9,""
