/name, localName, hexColor
/ex: lumium, Lumium, 12345678
/woods:
oak, Oak, 966f35
spruce, Spruce, 734712
birch, Birch, e0d1a4
jungle, Jungle, d19e71
acacia, Acacia, d1732c
dark_oak, Dark-Oak, 472104
/stones:
andesite, Andesite, d5dbdb
basalt, Basalt, 414d4c
blue_schist, Blue-Schist, 36918e
green_schist, Green-Schist, 3d805f
chalk, Chalk, ded0ca
dacite, Dacite, d5dbdb
dolomite, Dolomite, 65705e
eclogite, Ecelogite, 918273
gabbro, Gabbro, 7e7985
gneiss, Gneiss, 595c63
greywacke, Greywacke, bcc2be
komatiite, komatiite, dbb856
limestone, Limestone, bccca3
marble, Marble, e3e8e7
migmatite, Migmatite, 6e7985
quartzite, Quartzite, 91857d
rhyolite, Rhyolite, 7b877b
shale, Shale, abadb8
siltstone, Siltstone, ab8572
soapstone, Soapstone, c0c9d1
slate, Slate, 454852
red_granite, Red-Granite, bd8f86
black_granite, Black-Granite, 262321
/mob:
wool, Wool, f2f4f7
/elements:
/gas
/hydrogen, hydrogen, ffadc1
/nitrogen, nitrogen, 629df0
/oxygen, oxygen, 8db1e3
/fluorine, fluorine, d7d975
/chlorine, chlorine, d4e0a6
/helium, helium, e84a4a
/neon, neon, ff3526
/argon, argon, eb9de7
/krypton, krypton, 81d2f7
/xenon, xenon, c8dae3
/radon, radon, ff2bf4
/liquid:
/bromine, bromine, ab2507
/mercury, mercury, 8c8280
/ores:
bauxite, Bauxite, ff9b79
galena, Galena, af78b6
/solid:
lithium, Lithium, b4bc84
beryllium, Beryllium, 0f2d0f
boron, Boron, 363d31
carbon, Carbon, 404040
sodium, Sodium, 000c91
magnesium, Magnesium, d99fe3
aluminium, Aluminium, 6fe1ed
silicon, Silicon, 060033
phosphorus, Phosphorus, 7a4907
sulfur, Sulfur, a38b12
potassium, Potassium, ccc6a5
calcium, Calcium, fff2b3
scandium, Scandium, 689c97
titanium, Titanium, e398db
vanadium, Vanadium, 252833
chrome, Chrome, fde0ff
manganese, Manganese, e0c5df
iron, Iron, d9d7d9
cobalt, Cobalt, 3152e8
nickel, Nickel, e6d6aa
copper, Copper, f5b753
zinc, Zinc, dae5e8
gallium, Gallium, 75c7aa
germanium, Germanium, eaf4f9
arsenic, Arsenic, cfd4c3
selenium, Selenium, 630e0e
rubidium, Rubidium, 855151
strontium, Strontium, b0a884
yttrium, Yttrium, b1c9ab
zirconium, Zirconium, b5b833
niobium, Niobium, 5c246b
molybdenum, Molybdenum, ba9bd4
technetium, Technetium, b1efda
ruthenium, Ruthenium, eae3e7
rhodium, Rhodium, efeaeb
palladium, Palladium, 6e26ff
silver, Silver, e1f5f2
cadmium, Cadmium, 406e99
indium, Indium, 8b00b5
tin, Tin, 2d73ff
antimony, Antimony, ebdcab
