/"Registry Name","Spawned ID","Egg primary color","Egg secondary color"
"betteranimalsplus:badger","betteranimalsplus:badger","0x000C0C0C (    789516)","0x00D3D3D3 (  13882323)"
"betteranimalsplus:blackbear","betteranimalsplus:blackbear","0x00000000 (         0)","0x00333333 (   3355443)"
"betteranimalsplus:boar","betteranimalsplus:boar","0x003D3C3B (   4013115)","0x00BCA895 (  12363925)"
"betteranimalsplus:bobbit_worm","betteranimalsplus:bobbit_worm","0x00FFE38F (  16769935)","0x000F27BF (    993215)"
"betteranimalsplus:brownbear","betteranimalsplus:brownbear","0x004F2900 (   5187840)","0x008E500E (   9326606)"
"betteranimalsplus:coyote","betteranimalsplus:coyote","0x00866A31 (   8809009)","0x00B69762 (  11966306)"
"betteranimalsplus:crab","betteranimalsplus:crab","0x00E21D16 (  14818582)","0x002D0504 (   2950404)"
"betteranimalsplus:deer","betteranimalsplus:deer","0x008E510B (   9326859)","0x00C6863B (  13010491)"
"betteranimalsplus:eel_freshwater","betteranimalsplus:eel_freshwater","0x00818077 (   8487031)","0x00726C4F (   7498831)"
"betteranimalsplus:eel_saltwater","betteranimalsplus:eel_saltwater","0x00A5A5A5 (  10855845)","0x00515168 (   5329256)"
"betteranimalsplus:feralwolf","betteranimalsplus:feralwolf","0x00BABABA (  12237498)","0x00232323 (   2302755)"
"betteranimalsplus:fox","betteranimalsplus:fox","0x00E87422 (  15234082)","0x003F210C (   4137228)"
"betteranimalsplus:goat","betteranimalsplus:goat","0x00FFFFFF (  16777215)","0x00EEEEEE (  15658734)"
"betteranimalsplus:goose","betteranimalsplus:goose","0x00D3CFCF (  13881295)","0x005E5752 (   6182738)"
"betteranimalsplus:hirschgeist","betteranimalsplus:hirschgeist","0x000FFFFF (   1048575)","0x00000000 (         0)"
"betteranimalsplus:horseshoecrab","betteranimalsplus:horseshoecrab","0x00BA1111 (  12194065)","0x00520807 (   5376007)"
"betteranimalsplus:jellyfish","betteranimalsplus:jellyfish","0x00226FE2 (   2256866)","0x00F2B3B3 (  15905715)"
"betteranimalsplus:lammergeier","betteranimalsplus:lammergeier","0x00D8D8D8 (  14211288)","0x00D82B11 (  14166801)"
"betteranimalsplus:lamprey","betteranimalsplus:lamprey","0x000000AD (       173)","0x000A0A0A (    657930)"
"betteranimalsplus:moose","betteranimalsplus:moose","0x0046351C (   4601116)","0x0097866E (   9930350)"
"betteranimalsplus:nautilus","betteranimalsplus:nautilus","0x00FF9659 (  16750169)","0x00241682 (   2365058)"
"betteranimalsplus:pheasant","betteranimalsplus:pheasant","0x008E6B0B (   9333515)","0x00D8AF3C (  14200636)"
"betteranimalsplus:reindeer","betteranimalsplus:reindeer","0x008E510B (   9326859)","0x00017700 (     96000)"
"betteranimalsplus:shark","betteranimalsplus:shark","0x00787878 (   7895160)","0x00BDBDBD (  12434877)"
"betteranimalsplus:songbird","betteranimalsplus:songbird","0x0046F4D2 (   4650194)","0x007DF442 (   8254530)"
"betteranimalsplus:squirrel","betteranimalsplus:squirrel","0x0089806F (   9011311)","0x00B2A489 (  11707529)"
"betteranimalsplus:tarantula","betteranimalsplus:tarantula","0x001E1E1E (   1973790)","0x008C0C0C (   9178124)"
"betteranimalsplus:turkey","betteranimalsplus:turkey","0x00857445 (   8746053)","0x005099BA (   5282234)"
"betteranimalsplus:walrus","betteranimalsplus:walrus","0x00854C03 (   8735747)","0x0042300F (   4337679)"
"betteranimalsplus:whale","betteranimalsplus:whale","0x00328DA8 (   3313064)","0x00001C4F (      7247)"
"betteranimalsplus:zotzpyre","betteranimalsplus:zotzpyre","0x00321E13 (   3284499)","0x00543A28 (   5519912)"
"betternether:firefly","betternether:firefly","0x002FA0E5 (   3121381)","0x002FE9D4 (   3140052)"
"biomesoplenty:wasp","biomesoplenty:wasp","0x00E5B013 (  15052819)","0x00333234 (   3355188)"
"duckcraft:duck","duckcraft:duck","0x00006400 (     25600)","0x0098FB98 (  10025880)"
"jaff:clownfish","jaff:clownfish","0x00FF8000 (  16744448)","0x00FFFFFF (  16777215)"
"jaff:cod","jaff:cod","0x0064B4C8 (   6599880)","0x000080C8 (     32968)"
"jaff:pufferfish","jaff:pufferfish","0x00FFF028 (  16773160)","0x00429BBA (   4365242)"
"jaff:salmon","jaff:salmon","0x009E4B49 (  10373961)","0x0047594B (   4675915)"
"minecraft:bat","minecraft:bat","0x004C3E30 (   4996656)","0x000F0F0F (    986895)"
"minecraft:blaze","minecraft:blaze","0x00F6B201 (  16167425)","0x00FFF87E (  16775294)"
"minecraft:cave_spider","minecraft:cave_spider","0x000C424E (    803406)","0x00A80E0E (  11013646)"
"minecraft:chicken","minecraft:chicken","0x00A1A1A1 (  10592673)","0x00FF0000 (  16711680)"
"minecraft:cow","minecraft:cow","0x00443626 (   4470310)","0x00A1A1A1 (  10592673)"
"minecraft:creeper","minecraft:creeper","0x000DA70B (    894731)","0x00000000 (         0)"
"minecraft:donkey","minecraft:donkey","0x00534539 (   5457209)","0x00867566 (   8811878)"
"minecraft:elder_guardian","minecraft:elder_guardian","0x00CECCBA (  13552826)","0x00747693 (   7632531)"
