/existing_part
/name, localization-%s, bool hasOverlay
/%s is required and denotes the material name
/- denotes a space
/ex: tiny_dust
/ex2: boule, %s-Boule, false
/ex3: raw_ore, Raw-%s-Ore, true
tiny_dust, dustTiny
small_dust, dustSmall
dust, dust
molten, *molten
poor_ore, poorOre
ore, ore
dense_ore, denseOre
rock, rock
ore_rock, rockOre
cluster, cluster
clump, clump
shard, shard
crushed_ore, crushedOre
purified_ore, orePurified
centrifuged_ore, oreCentrifuged
dirty_dust, dustDirty
ore_sample, oreSample
flawless_gem, gemFlawless
crystal, crystal
flawed_gem, gemFlawed
chipped_gem, gemChipped
nugget, nugget
ingot, ingot
block, block
plate, plate
dense_plate, plateDense
casing, casing
beam, beam
gear, gear
rod, rod
long_rod, rodLong
bolt, bolt
ring, ring
small_spring, smallSpring
large_spring, springLarge
round, round
minecart, *minecart
armor, *armor
boule, %s-Boule, false
chain, %s-Chain, false
chunk, %s-Chunk, false
coil, %s-Coil, true
concentrated_ore, Concentrated-%s-Ore, false
curved_plate, Curved-%s-Plate, false
dense_fibers, Dense-%s-Fibers, false
dense_wire, Dense-%s-Wire, true
drill_head, %s-Drill-Head, false
exquisite_gem, Exquisite-%s, false
fiber, %s-Fiber, false
fibers, %s-Fibers, false
fine_dust, Fine-%s-Dust, false
fine_wire, Fine-%s-Wire, true
foil, %s-Foil, false
gearbox, %s-Gearbox, false
gem, %s, false
hot_ingot, Hot-%s-Ingot, true
infused_wafer, Infused-%s-Wafer, false
infused_boule, Infused-%s-Boule, false
large_plate, Large-%s-Plate, false
large_scrap, Large-%s-Scrap, false
lens, %s-Lens, true
long_stick, Long-%s-Stick, false
morsel, %s-Morsel, false
pebble, %s-Pebble, true
piece, %s-Piece, false
powder, %s-Powder, false
pure_dust, Pure-%s-Dust, true
rail, %s-Rail, false
raw_ore, Raw-%s-Ore, true
rotor, %s-Rotor, false
saw_blade, %s-Saw-Blade, false
scrap, %s-Scrap, false
screw, %s-Screw, false
screwed_plate, Screwed-%s-Plate, false
small_bolt, Small-%s-Bolt, false
small_casing, Small-%s-Casing, false
small_centrifuged_ore, Small-Centrifuged-%s-Ore, false
small_crushed_ore, Small-Crushed-%s-Ore, true
small_fine_dust, Small-Fine-%s-Dust, false
small_gear, Small-%s-Gear, false
small_plate, Small-%s-Plate, false
small_powder, Small-%s-Powder, false
small_purified_ore, Small-Purified-%s-Ore, false
small_rod, Small-%s-Rod, false
small_screwed_plate, Small-Screwed-%s-Plate, false
small_spring, Small-%s-Spring, false
solid_metal, Solid-%s-Metal, false
spring, %s-Spring, false
stick, %s-Stick, false
stone_plate, %s-Plate, false
superior_gem, Superior-%s, false
tiny_fine_dust, Tiny-Fine-%s-Dust, false
tiny_powder, Tiny-%s-Powder, false
tough_plate, Tough-%s-Plate, false
turbine_blade, %s-Turbine-Blade, false
wafer, %s-Wafer, false
wire, %s-Wire, true
wood_plate, %s-Plate, false
